ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
ITX.MC,ITX.MC,63.9,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,,,70.0,50.0,54.5,90.0,60.0,,,,,5.4,False,0,5.8,False,0,"{'eps_growth_yoy': 5.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.6}","{'revenue_growth_yoy': 5.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.6, 'rs_6m': -4.8}","{'roe_pct': 34.0, 'debt_to_equity': 0.32, 'current_ratio': 1.29, 'operating_margin_pct': 20.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.1}",57.72,0,Consumer Cyclical,Apparel Retail,,,False,58.28,-1.0,7,True,59.54,65.0,41.5,24,buy,3.1,,,20.1,-65.2,,,1.15,57.8,0.65,2.09,,,36.6,5.3,37,2026-09-09,False,False,7,NEUTRAL,4.9,37.8,4.56,27.5,,,,2026-08-03T11:42:19.154566,IBEX35,40.6,0.0,0.0,0.0,3.0,0.39,-3.0,0.0,CONFIRMED_UPTREND
SU.PA,SCHNEIDER ELECTRIC SE,58.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,60.5,75.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.3},{},"{'rs_3m': 2.6, 'rs_6m': 10.0}","{'roe_pct': 18.6, 'debt_to_equity': 0.84, 'current_ratio': 1.09, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 10.6}",288.65,162710355968,Industrials,Specialty Industrial Machinery,,,False,294.85,-2.1,7,True,319.35,365.0,262.0,23,strong_buy,10.6,394.3,36.6,248.76,-13.8,3.3,9.53,1.45,49.5,4.2,1.77,,,,29.3,206,2027-02-25,False,False,6,NEUTRAL,3.75,74.6,0.82,45.4,,,,2026-08-03T11:41:53.864746,CAC40,40.4,3.0,0.0,0.0,5.0,1.32,0.0,0.0,CONFIRMED_UPTREND
RMS.PA,HERMES INTL,57.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,30.0,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 28.0},{},"{'rs_3m': -10.8, 'rs_6m': -29.9}","{'roe_pct': 25.5, 'debt_to_equity': 0.12, 'current_ratio': 4.54, 'operating_margin_pct': 42.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.1}",1584.5,165963579392,Consumer Cyclical,Luxury Goods,,,False,2300.0,-31.1,0,False,1918.05,2320.0,1500.0,22,buy,21.1,690.41,-56.4,430.4,-72.8,2.96,46.92,1.18,41.9,18.0,0.66,,,,-0.2,192,2027-02-11,False,False,8,STRONG,4.54,37.5,,50.8,,,,2026-08-03T11:40:56.918410,CAC40,38.9,0.0,0.0,0.0,0.0,2.64,1.0,0.0,CONFIRMED_UPTREND
OR.PA,L'OREAL,56.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,54.5,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.9},{},"{'rs_3m': 2.7, 'rs_6m': -8.6}","{'roe_pct': 19.4, 'debt_to_equity': 0.49, 'current_ratio': 0.97, 'operating_margin_pct': 21.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 5.7}",391.45,208407674880,Consumer Defensive,Household & Personal Products,,,False,408.35,-4.1,6,False,413.87,460.0,328.0,23,buy,5.7,196.21,-49.9,114.5,-70.7,3.08,12.04,1.86,61.2,7.2,1.55,,,,3.8,190,2027-02-09,False,False,6,NEUTRAL,4.06,69.9,4.84,23.1,,,,2026-08-03T11:41:03.808624,CAC40,37.6,3.0,5.0,0.0,1.0,0.71,-3.0,0.0,CONFIRMED_UPTREND
GIVN.SW,GIVAUDAN N,58.8,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,"FCF declarado (605,625,024) se aparta del derivado de flujo operativo menos capex (1,143,000,000)",55.0,50.0,66.5,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 12.9},{},"{'rs_3m': 14.1, 'rs_6m': 2.9}","{'roe_pct': 22.3, 'debt_to_equity': 1.11, 'current_ratio': 1.29, 'operating_margin_pct': 18.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.3}",3227.0,29789460480,Basic Materials,Specialty Chemicals,,,False,3592.0,-10.2,4,False,3493.83,4500.0,2886.0,20,buy,8.3,965.34,-70.1,1027.1,-68.2,2.03,65.61,2.23,70.1,72.0,1.95,,,,-14.0,177,2027-01-27,False,False,7,NEUTRAL,4.12,34.8,,28.7,,,,2026-08-03T11:41:10.762412,SMI20,37.5,0.0,5.0,0.0,-3.0,1.04,0.0,0.0,CONFIRMED_UPTREND
LIFCO-B.ST,Lifco AB ser.B,60.6,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,False,0.9331,"acciones × precio no cuadra con la capitalización (ratio 0.9331): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",70.0,50.0,60.5,60.0,60.0,,,,,7.8,False,0,3.6,False,0,"{'eps_growth_yoy': 7.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.2}","{'revenue_growth_yoy': 3.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 12.9, 'rs_6m': -1.7}","{'roe_pct': 20.2, 'debt_to_equity': 0.58, 'current_ratio': 0.94, 'operating_margin_pct': 19.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.6}",328.8,149346304000,Industrials,Conglomerates,,,False,388.2,-15.3,3,False,350.57,385.0,330.0,7,buy,6.6,,,,,2.79,9.83,0.83,31.8,2.7,0.71,False,,,12.5,81,2026-10-23,False,False,7,NEUTRAL,3.27,163.9,2.31,28.6,,,,2026-08-03T11:42:30.578955,OMXSTO,36.2,0.0,0.0,0.0,3.0,0.82,-3.0,0.0,CONFIRMED_UPTREND
HLMA.L,HLMA.L,56.0,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,True,,"FCF declarado (261,262,496) se aparta del derivado de flujo operativo menos capex (409,600,000)",55.0,50.0,35.0,90.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.4},{},"{'rs_3m': -27.9, 'rs_6m': -8.6}","{'roe_pct': 18.3, 'debt_to_equity': 0.42, 'current_ratio': 2.14, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.8}",3544.0,0,Industrials,Conglomerates,,,False,4902.0,-27.7,3,False,4386.47,5010.0,3050.0,17,buy,23.8,,,1568.0,-55.8,,,0.7,24.2,0.25,0.79,,,,11.2,108,2026-11-19,False,False,7,NEUTRAL,3.73,57.9,1.56,31.8,,,,2026-08-03T11:41:34.657760,FTSE100,35.4,0.0,0.0,0.0,3.0,2.98,1.0,0.0,CONFIRMED_UPTREND
GEBN.SW,GEBERIT N,54.6,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,55.0,50.0,54.5,65.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 19.2},{},"{'rs_3m': 1.4, 'rs_6m': -14.6}","{'debt_to_equity': 0.89, 'operating_margin_pct': 28.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 2.3}",545.8,17997060096,Industrials,Building Products & Equipment,,,False,659.8,-17.3,2,False,558.53,698.0,430.0,17,hold,2.3,329.69,-39.6,180.4,-66.9,3.9,21.29,2.42,70.9,12.9,2.33,,,,1.7,16,2026-08-19,False,True,7,NEUTRAL,4.16,49.8,6.36,22.2,,,,2026-08-03T11:42:11.915004,SMI20,34.8,3.0,5.0,0.0,1.0,0.29,-3.0,0.0,CONFIRMED_UPTREND
DPLM.L,DIPLOMA PLC ORD 5P,61.8,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,70.0,85.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.5},{},"{'rs_3m': -1.5, 'rs_6m': 30.4}","{'roe_pct': 19.0, 'debt_to_equity': 0.47, 'current_ratio': 2.06, 'operating_margin_pct': 19.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.3}",7400.0,9923017728,Industrials,Industrial Distribution,,,False,7720.0,-4.1,7,True,8017.5,9000.0,5760.0,16,buy,8.3,,,,,2.46,1.82,0.86,44.2,0.63,1.47,,,,4.5,106,2026-11-17,False,False,8,STRONG,2.67,60.5,6.29,37.9,,,,2026-08-03T11:41:22.882105,FTSE100,34.7,0.0,0.0,0.0,1.0,1.04,0.0,0.0,CONFIRMED_UPTREND
IMCD.AS,IMCD,55.0,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (266,937,248) se aparta del derivado de flujo operativo menos capex (363,683,008)",50.0,50.0,56.0,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 4.6},{},"{'rs_3m': -3.5, 'rs_6m': 3.9}","{'roe_pct': 11.2, 'debt_to_equity': 0.85, 'current_ratio': 1.35, 'operating_margin_pct': 8.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.9}",96.38,5690753024,Basic Materials,Specialty Chemicals,,,False,105.05,-8.3,7,True,116.57,150.0,75.0,14,buy,20.9,89.13,-7.5,38.9,-59.6,4.69,4.52,1.91,46.5,1.81,1.58,,,,10.0,94,2026-11-05,False,False,5,NEUTRAL,5.04,39.3,1.49,38.6,,,,2026-08-03T11:41:20.406478,AEX25,34.0,3.0,5.0,0.0,3.0,2.61,1.0,0.0,CONFIRMED_UPTREND
SIKA.SW,SIKA N,59.8,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,50.0,50.0,79.0,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 9.4},{},"{'rs_3m': 26.5, 'rs_6m': 18.2}","{'roe_pct': 16.0, 'debt_to_equity': 0.89, 'current_ratio': 1.3, 'operating_margin_pct': 14.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.2}",185.0,29681260544,Basic Materials,Specialty Chemicals,,,False,194.7,-5.0,5,False,196.45,250.0,150.0,22,buy,6.2,93.93,-49.2,64.7,-65.0,3.45,6.38,2.03,57.1,3.7,1.45,,,,-0.6,199,2027-02-18,False,False,7,NEUTRAL,4.37,45.5,,45.4,,,,2026-08-03T11:41:49.161460,SMI20,33.9,3.0,5.0,0.0,0.0,0.78,-3.0,0.0,CONFIRMED_UPTREND
EL.PA,ESSILORLUXOTTICA,48.8,⚠️ WEAK,🔴 Weak,EUR,EUR,False,True,True,1.0,,50.0,50.0,30.0,55.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 8.5},{},"{'rs_3m': -8.5, 'rs_6m': -42.5}","{'roe_pct': 6.7, 'debt_to_equity': 0.38, 'current_ratio': 0.89, 'operating_margin_pct': 15.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 44.8}",168.2,77303300096,Healthcare,Medical Instruments & Supplies,,,False,323.8,-48.1,0,False,243.61,361.0,180.0,23,buy,44.8,154.72,-8.0,65.8,-60.9,4.25,7.15,2.44,74.8,4.0,1.62,,,,12.3,192,2027-02-11,False,False,4,NEUTRAL,3.92,34.6,1.68,26.9,,,,2026-08-03T11:41:46.875290,CAC40,33.5,3.0,5.0,0.0,3.0,5.6,3.0,0.0,CONFIRMED_UPTREND
AI.PA,AIR LIQUIDE,56.6,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (264,437,504) se aparta del derivado de flujo operativo menos capex (1,652,500,160)",55.0,50.0,60.5,60.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 13.1},{},"{'rs_3m': 4.2, 'rs_6m': 4.8}","{'roe_pct': 14.0, 'debt_to_equity': 0.63, 'current_ratio': 0.88, 'operating_margin_pct': 20.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.5}",170.1,108161310720,Basic Materials,Specialty Chemicals,,,False,182.26,-6.7,5,False,196.47,216.0,160.0,20,strong_buy,15.5,6.12,-96.4,55.7,-67.3,0.24,0.42,1.97,60.5,3.36,1.83,,,,0.7,199,2027-02-18,False,False,7,NEUTRAL,3.98,18.8,33.64,17.3,,,,2026-08-03T11:41:01.626555,CAC40,32.6,0.0,5.0,0.0,1.0,1.94,0.0,0.0,CONFIRMED_UPTREND
KNEBV.HE,KONE Corporation,55.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,False,0.853,"acciones × precio no cuadra con la capitalización (ratio 0.8530): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,60.0,30.0,75.0,65.0,,,,,-13.0,True,1,3.1,True,1,"{'eps_growth_yoy': -13.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.3}","{'revenue_growth_yoy': 3.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -6.9, 'rs_6m': -23.3}","{'roe_pct': 41.4, 'debt_to_equity': 0.29, 'current_ratio': 0.99, 'operating_margin_pct': 11.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.1}",50.76,26308077568,Industrials,Specialty Industrial Machinery,,,False,64.42,-21.2,2,False,60.43,83.0,45.0,22,buy,19.1,,,,,4.0,2.38,3.59,98.9,1.8,3.54,False,,26.1,-9.2,86,2026-10-28,False,False,8,STRONG,5.35,101.2,,26.3,,,,2026-08-03T11:41:36.823887,OMXHEL,32.1,3.0,-2.0,0.0,0.0,2.39,1.0,0.0,CONFIRMED_UPTREND
STMN.SW,STRAUMANN N,62.5,⭐⭐ GOOD,🟡 Good,CHF,CHF,False,True,True,1.0,,55.0,50.0,66.5,95.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.7},{},"{'rs_3m': 15.6, 'rs_6m': 1.7}","{'roe_pct': 17.0, 'debt_to_equity': 0.19, 'current_ratio': 2.21, 'operating_margin_pct': 23.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.4}",101.75,16224118784,Healthcare,Medical Instruments & Supplies,,,False,109.8,-7.3,6,False,110.33,130.0,85.0,18,buy,8.4,31.72,-68.8,22.3,-78.1,2.12,2.16,1.0,42.6,1.0,0.7,,,,-17.7,16,2026-08-19,False,True,6,NEUTRAL,2.97,28.8,,29.7,,,,2026-08-03T11:41:30.125471,SMI20,31.0,0.0,0.0,0.0,-3.0,1.05,0.0,0.0,CONFIRMED_UPTREND
SAF.PA,SAFRAN,58.8,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,,"FCF declarado (3,562,749,952) se aparta del derivado de flujo operativo menos capex (4,895,000,064)",55.0,50.0,66.5,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.6},{},"{'rs_3m': 16.8, 'rs_6m': 9.8}","{'roe_pct': 27.5, 'debt_to_equity': 0.34, 'current_ratio': 0.92, 'operating_margin_pct': 14.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.1}",352.0,0,Industrials,Aerospace & Defense,,,False,360.8,-2.4,7,True,373.41,432.0,257.0,22,buy,6.1,,,93.1,-73.6,,,0.99,36.0,3.35,0.77,,,,-65.1,190,2027-02-09,False,False,7,NEUTRAL,7.47,166.3,,31.4,,,,2026-08-03T11:41:39.227090,CAC40,29.5,0.0,0.0,0.0,-3.0,0.76,-3.0,0.0,CONFIRMED_UPTREND
ITRK.L,ITRK.L,60.9,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,True,,,50.0,50.0,80.5,75.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 9.1},{},"{'rs_3m': 10.5, 'rs_6m': 24.7}","{'roe_pct': 29.9, 'debt_to_equity': 1.73, 'current_ratio': 1.1, 'operating_margin_pct': 16.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 0.7}",5841.038,0,Industrials,Specialty Business Services,,,False,5850.0,-0.2,7,True,5882.46,6200.0,5450.0,13,buy,0.7,,,2050.0,-64.9,,,2.83,80.5,1.65,2.66,,,,-7.8,211,2027-03-02,False,False,4,NEUTRAL,5.18,63.8,,1.9,,,,2026-08-03T11:42:02.744631,FTSE100,29.4,0.0,0.0,0.0,0.0,0.09,-3.0,0.0,CONFIRMED_UPTREND
DSV.CO,DSV A/S,53.2,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,True,1.0,"FCF declarado (14,194,374,656) se aparta del derivado de flujo operativo menos capex (9,730,999,552)",45.0,80.0,30.0,45.0,70.0,,,,,-2.3,False,0,23.7,True,1,"{'eps_growth_yoy': -2.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 2.4}","{'revenue_growth_yoy': 23.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -16.1, 'rs_6m': -28.6}","{'roe_pct': 6.3, 'debt_to_equity': 0.76, 'current_ratio': 0.96, 'operating_margin_pct': 8.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 46.7}",1380.0,329506652160,Industrials,Integrated Freight & Logistics,,,False,1913.5,-27.9,2,False,2024.9,2300.0,1580.0,20,strong_buy,46.7,874.72,-36.6,300.8,-78.2,4.31,59.45,0.5,23.2,7.0,0.48,False,,3.7,-4.0,79,2026-10-21,False,False,7,NEUTRAL,3.76,30.4,,53.5,,,,2026-08-03T11:41:32.415689,OMXCPH,27.3,3.0,0.0,0.0,0.0,5.84,3.0,0.0,CONFIRMED_UPTREND
HEIA.AS,HEINEKEN,53.1,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,60.5,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 6.6},{},"{'rs_3m': 14.8, 'rs_6m': -2.0}","{'roe_pct': 9.9, 'debt_to_equity': 0.94, 'current_ratio': 0.93, 'operating_margin_pct': 13.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.8}",78.4,43545694208,Consumer Defensive,Beverages - Brewers,,,False,80.24,-2.3,6,False,86.85,126.0,70.0,23,buy,10.8,68.47,-12.7,33.8,-56.9,4.91,3.85,2.42,56.5,1.9,2.01,,,,7.5,2,2026-08-05,True,False,7,NEUTRAL,5.98,25.0,1.84,21.3,,,,2026-08-03T11:42:46.533030,AEX25,27.2,3.0,5.0,0.0,3.0,1.35,0.0,0.0,CONFIRMED_UPTREND
