Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Boeing Co,Industrials,Aerospace & Defense,USA,NYSE,"DJIA, S&P 500",-,-17.94,0.14%,753.37M,2.45%,156.97B,54.15,3.84,-3.14%,752.93M,14.38%,-11655.00M,-,-0.79,74.01%,2.39%,19.76%,69.44B,2.26,94.12%,-9.30%,1.91,39.45%,-4.42,-,420.76%,-7.91%,17.98M,19.29%,31.40,6.63,-,-,128.88,209.66,17.62%,0.04 (0.02%),-,-74.80%,-27.51%,-0.71%,1.43,-,0.37,-1.54%,-2.03%,61.53%,5.42,"Feb 13, 2020",1.23,-406.76%,-14.63%,71.60,1.83%,1.37%,172000,-,-9.15%,-16.78%,1.88,210.88,Yes / Yes,-,70.82%,-,1.75,201.50,0.71%,58.18%,17.67%,Apr 23 BMO,9.44M,208.18,5.03%,16.20%,24.13%,"

","16,345,993",3.32%,BA,-0.031400000000000004
GE Aerospace,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,38.07,6.41,0.27%,1.07B,4.55%,260.37B,37.64,6.49,-1.08%,1.06B,21.78%,6.97B,2.14,1.41,79.57%,1.32%,21.21%,39.68B,6.56,20.90%,-1.07%,2.28,34.78%,18.05,13.52,16.63%,4.79%,14.02M,45.92%,12.57,19.42,17.76%,28.09%,150.20,246.00,46.39%,1.39 (0.57%),59.07,94.19%,18.55%,-0.75%,1.39,1.20 (0.49%),0.77,-14.75%,38.18%,62.56%,5.46,"Mar 10, 2025",1.08,109.75%,18.60%,79.54,1.59%,1.19%,53000,1.08,-42.92%,17.57%,1.55,232.06,Yes / Yes,0.95,31.58%,18.74%,0.83,243.67,-0.55%,16.96%,-38.11%,Apr 22 BMO,6.15M,244.16,8.76%,18.75%,29.32%,"

","5,245,302",0.20%,GE,-0.0108
Amphenol Corp,Technology,Electronic Components,USA,NYSE,S&P 500,43.09,2.06,0.59%,1.21B,3.77%,107.56B,30.33,2.93,-32.96%,1.20B,15.96%,2.61B,2.22,0.66,97.15%,1.30%,35.84%,16.78B,6.41,40.81%,0.72%,1.84,19.69%,8.52,10.44,10.16%,13.19%,15.63M,30.53%,1.38,64.34,19.45%,27.53%,54.77,88.78,28.03%,0.67 (0.75%),48.38,15.39%,15.27%,0.16%,1.12,0.60 (0.68%),1.36,13.56%,33.94%,62.35%,2.06,"Jun 17, 2025",1.99,27.09%,21.86%,77.22,1.50%,1.42%,125000,0.70,30.70%,15.58%,1.75,91.19,Yes / Yes,0.66,33.37%,28.67%,0.91,88.13,11.99%,20.37%,47.74%,Apr 23 BMO,8.52M,88.92,5.56%,19.93%,27.60%,"

","7,740,552",0.90%,APH,-0.3296
Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,"NDX, S&P 500",81.52,6.82,0.60%,358.40M,1.59%,199.19B,61.45,9.04,-3.79%,356.28M,7.94%,2.48B,6.26,1.93,86.00%,1.36%,-1.42%,8.71B,22.86,6.25%,-1.52%,2.17,1.44%,47.73,11.64,15.97%,14.13%,4.84M,37.27%,12.59,44.15,13.03%,15.94%,396.15,616.00,6.47%,-,114.13,10.77%,14.47%,-9.78%,1.68,-,3.97,13.81%,67.08%,40.29%,13.25,-,4.98,23.13%,28.20%,60.52,1.04%,1.38%,15638,0.00,19.08%,28.41%,1.97,579.83,Yes / Yes,0.00,26.73%,0.00%,0.51,552.41,3.09%,4.09%,19.19%,Apr 22 AMC,2.23M,555.75,1.59%,7.82%,6.16%,"

","1,139,292",0.60%,ISRG,-0.0379
Bio-Rad Laboratories Inc,Healthcare,Medical Devices,USA,NYSE,-,-,-76.20,32.15%,22.56M,-0.16%,6.21B,23.00,9.90,-0.03%,18.46M,-6.07%,-2164.11M,-,1.79,73.94%,7.14%,-14.31%,2.54B,2.44,-15.17%,3.70%,3.56,-31.63%,241.72,0.94,13.16%,-19.55%,1.32M,-20.75%,60.92,3.74,3.60%,-27.51%,215.38,387.99,-30.71%,-,17.46,-,-27.03%,-41.34%,0.94,-,4.43,2.44%,54.20%,5.68%,9.44,-,5.99,-637.11%,13.24%,42.21,1.94%,3.39%,7700,0.21,-2.46%,-85.16%,1.78,317.83,Yes / Yes,0.20,-82.98%,-,0.71,229.15,2.12%,40.31%,-4.16%,May 01 AMC,370.53K,227.61,-4.39%,-5.64%,-25.39%,"

","263,243",-0.67%,BIO,-0.0003
Masco Corp,Industrials,Building Products & Equipment,USA,NYSE,S&P 500,17.34,3.66,0.36%,210.90M,0.70%,13.38B,15.69,4.04,-5.60%,210.18M,4.95%,793.00M,3.88,1.08,95.78%,2.83%,-15.07%,7.70B,1.74,-13.74%,-1.37%,2.40,-19.69%,-1.20,-,14.35%,15.19%,5.94M,-8.18%,1.79,35.50,4.47%,-,56.55,86.70,-12.57%,1.21 (1.90%),15.88,11.37%,27.17%,-26.82%,1.20,1.20 (1.89%),1.09,3.47%,36.23%,12.20%,1.93,"May 23, 2025",1.75,-10.72%,17.29%,48.47,2.08%,3.08%,18000,-,-2.67%,10.29%,2.38,68.47,Yes / Yes,-,-9.84%,31.44%,0.71,62.59,-2.01%,-4.90%,-6.49%,Apr 23 BMO,2.47M,63.45,-0.67%,-1.30%,-15.21%,"

","1,754,479",1.37%,MAS,-0.055999999999999994
"Equifax, Inc",Industrials,Consulting Services,USA,NYSE,S&P 500,53.72,4.90,0.59%,124.20M,1.75%,32.67B,28.20,9.33,-8.64%,123.46M,1.70%,612.30M,2.91,1.90,99.99%,2.62%,8.42%,5.73B,5.70,4.21%,1.84%,2.95,3.73%,40.11,6.56,22.80%,5.08%,3.23M,9.60%,1.57,167.37,18.44%,12.83%,199.98,309.63,3.22%,1.84 (0.70%),40.39,-,6.58%,-15.04%,1.63,1.67 (0.63%),0.85,10.34%,43.70%,31.54%,8.17,"May 23, 2025",0.85,9.05%,19.23%,51.79,1.23%,2.02%,14700,1.00,7.12%,10.68%,1.72,284.95,Yes / Yes,0.87,6.31%,32.25%,0.47,262.14,1.82%,8.87%,3.79%,Apr 22 BMO,1.10M,263.05,-1.79%,5.70%,-0.57%,"

","524,928",0.35%,EFX,-0.0864
Wells Fargo & Co,Financial,Banks - Diversified,USA,NYSE,S&P 500,13.39,5.57,0.17%,3.26B,1.80%,242.47B,11.23,6.63,0.00%,3.25B,4.80%,18.91B,1.08,1.40,78.10%,1.31%,-2.75%,124.35B,1.95,8.38%,-1.39%,2.31,-1.91%,49.82,1.50,13.97%,1.02%,42.64M,23.75%,-,-,12.38%,11.05%,50.15,81.50,6.08%,1.69 (2.27%),9.56,5.77%,5.44%,-8.58%,1.15,1.60 (2.15%),-,6.19%,-,48.57%,1.74,"May 09, 2025",0.48,16.51%,19.20%,56.97,1.12%,1.43%,217000,1.75,3.51%,15.21%,1.74,78.54,Yes / Yes,0.92,16.00%,27.96%,0.75,73.73,-2.76%,13.41%,-6.03%,Apr 11 BMO,18.48M,74.51,0.42%,5.53%,8.89%,"

","14,022,053",1.06%,WFC,0.0
"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA,NYSE,S&P 500,18.81,6.02,0.75%,136.73M,-0.18%,15.51B,20.76,5.46,-1.37%,135.92M,4.53%,844.72M,15.94,1.23,98.82%,4.17%,-3.23%,11.06B,1.40,-6.71%,0.57%,3.53,-6.64%,16.72,6.78,2.26%,18.27%,5.67M,-3.98%,9.63,11.76,1.18%,37.70%,100.47,131.59,2.26%,1.68 (1.48%),20.26,11.02%,30.55%,-13.92%,1.07,1.46 (1.29%),1.69,12.28%,14.93%,12.74%,2.85,"Jun 02, 2025",1.69,27.40%,9.78%,50.79,1.67%,2.38%,18400,0.26,24.07%,7.64%,3.81,107.38,Yes / Yes,0.21,25.43%,25.54%,0.98,112.13,4.46%,7.26%,20.83%,May 06 BMO,1.60M,113.27,0.23%,0.69%,-3.23%,"

","1,565,536",1.02%,EXPD,-0.0137
Moody's Corp,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,41.61,11.58,0.11%,179.94M,1.87%,86.65B,31.27,15.40,-7.40%,179.70M,7.75%,2.11B,3.60,3.29,93.58%,1.70%,-2.27%,7.23B,11.99,9.26%,0.60%,3.47,0.20%,20.56,23.42,13.04%,13.99%,3.05M,17.30%,12.23,39.37,11.56%,57.90%,378.71,531.93,1.75%,3.53 (0.73%),34.71,8.70%,19.62%,-9.45%,1.39,3.58 (0.74%),1.52,8.59%,66.61%,27.18%,10.17,"May 16, 2025",1.52,26.38%,42.25%,57.93,1.39%,1.48%,15838,1.93,15.95%,29.14%,2.21,504.67,Yes / Yes,1.90,9.94%,30.18%,0.48,478.51,2.58%,8.14%,7.73%,Apr 22 BMO,878.84K,481.64,1.23%,5.66%,1.61%,"

","422,584",0.65%,MCO,-0.07400000000000001
General Dynamics Corp,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,19.10,14.41,0.70%,268.40M,-0.90%,73.86B,16.47,16.71,-3.37%,266.52M,1.15%,3.98B,1.93,3.45,86.65%,0.90%,9.37%,49.21B,1.50,9.65%,-1.79%,1.59,-2.35%,82.81,3.32,11.80%,7.11%,2.41M,-8.15%,4.63,59.47,9.88%,18.23%,239.20,316.90,4.44%,5.85 (2.13%),22.09,2.61%,12.80%,-13.16%,0.46,5.76 (2.09%),0.82,4.08%,15.43%,15.05%,5.26,"Apr 11, 2025",1.34,17.65%,10.22%,51.14,1.59%,1.15%,117000,0.52,14.11%,8.08%,2.43,291.67,Yes / Yes,0.40,26.81%,41.67%,0.65,273.64,2.02%,4.73%,13.90%,Apr 23 BMO,1.51M,275.20,0.07%,1.29%,-1.08%,"

","992,226",0.57%,GD,-0.0337
Waste Connections Inc,Industrials,Waste Management,Canada,NYSE,-,80.03,2.43,0.26%,258.32M,-0.79%,50.23B,32.86,5.92,-4.67%,257.71M,-0.58%,629.03M,6.88,1.25,91.16%,0.58%,4.33%,9.08B,5.53,8.58%,-0.84%,1.22,2.38%,31.02,6.27,13.75%,3.20%,1.49M,17.48%,0.43,451.57,11.63%,7.96%,160.34,201.66,13.29%,1.28 (0.66%),43.38,2.13%,3.77%,-3.61%,0.61,1.23 (0.63%),0.70,10.74%,28.90%,21.24%,3.38,"May 07, 2025",0.70,-21.00%,12.51%,50.65,0.72%,1.36%,23854,1.09,10.75%,6.93%,1.65,213.94,Yes / Yes,1.08,4.81%,49.01%,0.57,195.48,0.38%,4.50%,7.50%,Apr 23 AMC,1.22M,194.39,0.09%,0.29%,4.80%,"

","704,651",-0.56%,WCN,-0.0467
Campbells Co,Consumer Defensive,Packaged Foods,USA,NASD,S&P 500,19.68,1.74,34.12%,298.00M,-0.18%,10.19B,11.28,3.03,-0.00%,196.45M,-5.19%,521.00M,12.38,0.65,58.40%,9.44%,-14.25%,10.12B,1.01,-3.33%,-0.48%,5.28,-24.55%,13.12,2.60,1.70%,3.72%,18.54M,-24.64%,2.78,12.29,1.59%,13.43%,32.95,52.81,-18.41%,1.51 (4.43%),13.18,15.98%,4.88%,-35.29%,0.11,1.52 (4.45%),0.55,3.60%,30.45%,3.70%,0.86,"Jul 03, 2025",0.93,-31.94%,13.65%,40.64,2.10%,1.68%,14400,2.06,9.15%,5.15%,2.96,39.06,Yes / Yes,1.73,-14.77%,78.31%,1.29,33.79,-1.86%,2.25%,9.32%,Jun 02 BMO,3.51M,34.17,-2.41%,-7.23%,-19.56%,"

","4,498,296",1.12%,CPB,-0.0
Waters Corp,Healthcare,Diagnostics & Research,USA,NYSE,S&P 500,32.22,11.03,0.21%,59.50M,2.29%,21.14B,25.02,14.20,0.00%,59.38M,4.25%,657.02M,3.25,2.93,98.30%,2.81%,-4.76%,2.98B,7.09,8.98%,1.07%,3.02,-4.87%,32.98,10.77,9.85%,14.44%,1.67M,5.60%,6.43,55.22,9.90%,40.82%,279.24,423.56,-4.23%,-,34.14,4.28%,19.49%,-16.12%,1.12,-,1.28,4.46%,57.70%,27.24%,11.77,"Nov 26, 1996",1.81,8.31%,28.57%,52.85,2.01%,2.58%,7600,0.78,2.57%,22.02%,2.42,394.11,Yes / Yes,0.72,18.21%,0.00%,0.62,354.59,1.05%,1.24%,3.90%,May 06 BMO,551.57K,355.30,1.03%,2.50%,-1.96%,"

","341,682",0.20%,WAT,0.0
Intercontinental Hotels Group ADR,Consumer Cyclical,Lodging,United Kingdom,NYSE,-,30.60,3.84,0.00%,157.56M,-0.24%,18.20B,21.04,5.58,-,155.07M,9.73%,625.17M,2.35,1.58,8.86%,0.80%,-7.39%,4.90B,3.72,14.61%,-0.21%,4.78,-4.91%,-14.67,-,12.57%,13.08%,1.25M,14.80%,6.55,17.93,13.02%,-,91.57,137.25,-6.06%,1.89 (1.61%),26.30,13.11%,65.67%,-14.50%,1.36,1.68 (1.43%),0.96,6.47%,21.66%,28.16%,2.33,"Apr 04, 2025",0.97,-11.99%,21.66%,53.70,1.40%,1.68%,12587,-,6.34%,12.77%,2.94,122.83,No / Yes,-,-1.27%,42.25%,0.66,117.18,-0.94%,-0.96%,8.23%,Feb 18 BMO,261.24K,117.35,-0.68%,5.80%,1.00%,"

","172,565",0.15%,IHG,
Royal Bank Of Canada,Financial,Banks - Diversified,Canada,NYSE,-,13.88,9.01,0.02%,1.41B,-0.65%,176.57B,12.15,10.29,0.00%,1.41B,4.25%,12.75B,2.48,2.37,49.82%,1.35%,8.50%,96.80B,1.82,11.57%,-0.08%,13.97,-0.06%,62.68,1.99,7.28%,0.84%,19.01M,18.71%,-,-,5.60%,14.17%,102.44,129.46,3.73%,4.37 (3.50%),-,4.62%,9.27%,-3.45%,0.88,4.15 (3.32%),-,16.78%,-,22.02%,1.95,"Jul 24, 2025",0.63,12.26%,15.77%,57.10,1.97%,1.03%,94838,2.48,2.76%,13.18%,1.20,129.75,Yes / Yes,0.43,5.24%,49.70%,1.57,128.94,0.25%,-0.83%,-6.65%,May 29 BMO,1.36M,125.00,0.98%,5.54%,4.06%,"

","2,218,112",-3.06%,RY,0.0
Fastenal Co,Industrials,Industrial Distribution,USA,NASD,"NDX, S&P 500",41.10,1.00,0.20%,1.15B,1.15%,47.27B,34.26,1.20,-6.72%,1.14B,2.64%,1.15B,4.78,0.28,85.27%,2.48%,11.22%,7.61B,6.21,9.32%,-,3.88,-0.82%,3.22,12.81,10.01%,24.49%,28.41M,24.81%,0.20,203.91,8.59%,32.35%,30.68,42.44,14.59%,0.86 (2.08%),54.42,7.79%,28.72%,-2.92%,0.97,0.82 (2.00%),2.14,7.28%,42.81%,34.29%,0.90,"Apr 25, 2025",4.28,-0.76%,19.89%,56.33,1.42%,1.57%,23702,0.13,3.08%,15.13%,3.06,39.61,Yes / Yes,0.09,0.23%,77.86%,0.45,41.47,0.44%,0.04%,3.39%,Apr 11 BMO,7.32M,41.20,1.50%,3.82%,8.64%,"

","3,328,692",-0.65%,FAST,-0.0672
RTX Corp,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,39.53,3.41,0.12%,1.34B,-0.11%,180.09B,20.08,6.71,-11.66%,1.33B,7.21%,4.60B,4.19,1.45,82.46%,0.88%,3.28%,81.74B,2.20,4.43%,0.45%,2.13,11.62%,46.05,2.93,12.20%,2.83%,11.76M,26.85%,3.86,34.92,9.44%,7.54%,99.07,138.82,16.49%,2.63 (1.95%),33.04,-11.13%,4.54%,-2.90%,0.61,2.57 (1.91%),0.75,12.50%,19.53%,36.06%,3.11,"May 23, 2025",1.01,34.14%,8.81%,58.01,1.49%,1.31%,186000,0.70,15.11%,5.63%,1.74,139.05,Yes / Yes,0.65,-11.15%,69.80%,0.65,132.85,2.48%,8.70%,5.19%,Apr 22 BMO,5.53M,134.80,2.13%,4.02%,8.74%,"

","3,635,315",1.47%,RTX,-0.1166
Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges,USA,CBOE,S&P 500,29.79,7.63,0.45%,104.74M,-0.43%,23.80B,22.80,9.96,-5.33%,104.24M,4.69%,802.10M,3.97,2.42,91.96%,3.01%,9.25%,4.33B,5.49,9.82%,2.36%,3.15,6.56%,42.51,5.35,5.38%,9.54%,3.13M,24.46%,10.75,21.15,7.51%,18.93%,166.13,236.02,16.29%,2.62 (1.15%),22.78,16.69%,13.30%,-3.72%,0.42,2.52 (1.11%),1.60,11.28%,46.38%,36.78%,5.52,"May 30, 2025",1.60,1.97%,28.89%,54.42,1.58%,1.94%,1685,0.36,15.76%,18.51%,2.95,224.44,Yes / Yes,0.35,20.87%,32.72%,0.57,225.99,1.15%,5.72%,24.84%,May 02 BMO,993.68K,227.24,0.44%,3.15%,8.32%,"

","572,468",0.55%,CBOE,-0.0533
Altria Group Inc,Consumer Defensive,Tobacco,USA,NYSE,S&P 500,9.95,5.97,0.16%,1.69B,0.05%,100.19B,10.74,5.54,0.00%,1.68B,1.21%,10.18B,2.76,1.38,62.95%,2.42%,7.99%,20.25B,4.95,5.27%,2.55%,3.95,4.85%,-2.08,-,2.72%,28.20%,40.67M,30.75%,2.81,21.20,3.61%,-,43.83,61.26,13.75%,4.17 (7.01%),11.86,-,51.13%,-2.91%,0.64,4.04 (6.79%),0.47,0.68%,70.81%,35.71%,0.96,"Jun 16, 2025",0.57,25.20%,57.96%,54.82,0.45%,1.42%,6200,-,-1.03%,50.30%,2.88,58.10,Yes / Yes,-,-47.50%,61.16%,0.51,59.48,-2.09%,3.63%,-4.20%,Apr 29 BMO,10.30M,59.48,0.55%,2.06%,9.14%,"

","5,322,182",0.00%,MO,0.0
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.75,2.39,3.57%,375.00M,4.65%,16.71B,15.51,2.89,-0.34%,360.00M,-4.09%,916.00M,1.66,0.58,89.55%,2.14%,-10.82%,11.33B,1.48,8.61%,4.59%,2.47,-4.89%,15.42,2.90,13.60%,8.22%,7.70M,25.27%,5.34,8.39,11.30%,15.73%,28.50,53.99,-7.06%,0.87 (1.94%),21.52,4.31%,12.04%,-17.08%,0.28,0.80 (1.79%),1.11,5.64%,16.94%,57.09%,1.29,"May 28, 2025",1.26,19.36%,11.95%,50.80,1.20%,2.02%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.95,43.48,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.12M,44.77,1.50%,-3.58%,-0.47%,"

","2,965,086",2.97%,YUMC,-0.0034000000000000002
Philip Morris International Inc,Consumer Defensive,Tobacco,USA,NYSE,S&P 500,36.55,4.87,0.18%,1.56B,1.85%,276.86B,21.50,8.27,-5.64%,1.55B,4.47%,7.57B,3.25,1.86,81.39%,0.86%,15.49%,38.18B,7.25,13.64%,0.07%,2.09,36.83%,-7.00,-,10.83%,11.62%,13.41M,77.99%,2.88,61.85,11.26%,-,98.93,179.83,47.79%,5.54 (3.12%),27.16,-0.38%,27.17%,-1.09%,0.53,5.35 (3.01%),0.43,4.97%,63.08%,79.79%,3.22,"Mar 20, 2025",0.79,-4.85%,36.80%,66.36,0.99%,1.33%,83100,-,6.83%,19.84%,2.00,182.64,Yes / Yes,-,25.05%,117.24%,0.89,178.79,1.71%,4.85%,5.53%,Apr 23 BMO,6.40M,177.87,3.15%,8.39%,28.61%,"

","5,727,518",-0.51%,PM,-0.0564
Novartis AG ADR,Healthcare,Drug Manufacturers - General,Switzerland,NYSE,-,17.62,6.39,0.00%,1.96B,-0.18%,213.63B,12.48,9.02,-,1.90B,-0.77%,12.86B,2.55,2.31,7.34%,0.18%,3.36%,51.72B,4.13,11.01%,1.01%,1.48,7.96%,19.58,5.75,4.02%,13.24%,3.35M,11.99%,3.79,29.69,6.90%,32.95%,96.06,120.92,15.69%,3.99 (3.54%),12.13,13.99%,20.88%,-6.90%,0.58,3.87 (3.44%),0.61,1.74%,74.46%,17.20%,1.95,"Mar 12, 2025",0.79,-13.28%,31.63%,55.32,0.82%,1.55%,75883,0.81,6.30%,24.86%,3.04,121.99,Yes / Yes,0.61,39.37%,55.39%,0.49,111.87,1.15%,7.86%,11.87%,Apr 29 BMO,2.26M,112.58,1.55%,2.08%,3.27%,"

","1,111,535",0.63%,NVS,
American Express Co,Financial,Credit Services,USA,NYSE,"DJIA, S&P 500",20.63,14.32,0.16%,701.00M,3.28%,206.94B,16.98,17.40,-13.10%,699.45M,10.62%,10.14B,1.64,3.86,86.39%,1.45%,0.40%,75.33B,2.75,8.43%,0.03%,2.92,-1.96%,44.51,6.64,14.53%,3.70%,10.11M,24.02%,74.95,3.94,12.60%,34.02%,220.43,326.27,-0.48%,3.28 (1.11%),18.29,11.90%,12.30%,-9.47%,1.25,2.92 (0.99%),7.33,10.84%,60.89%,34.00%,7.02,"Apr 04, 2025",7.33,17.89%,20.12%,60.74,1.60%,1.81%,75100,1.69,8.45%,13.46%,2.41,294.46,Yes / Yes,1.64,9.14%,19.97%,0.68,293.36,0.14%,4.82%,6.39%,Apr 17 BMO,3.47M,295.38,2.20%,8.69%,5.08%,"

","2,362,494",0.69%,AXP,-0.131
Apple Inc,Technology,Consumer Electronics,USA,NASD,"DJIA, NDX, S&P 500",31.20,6.41,0.10%,14.94B,-1.06%,2986.42B,25.62,7.80,-1.92%,14.92B,-5.33%,97.29B,3.86,1.42,63.82%,0.70%,-15.74%,400.37B,7.46,6.35%,-1.30%,1.69,-13.02%,4.47,44.72,8.71%,29.10%,105.17M,5.25%,3.25,61.58,8.08%,138.02%,169.21,260.10,-20.15%,1.04 (0.52%),30.32,15.41%,66.93%,-23.13%,1.21,1.01 (0.51%),0.78,9.18%,46.63%,18.17%,5.97,"May 12, 2025",0.82,-0.36%,31.81%,44.50,2.28%,2.12%,164000,1.47,4.91%,24.30%,2.04,230.13,Yes / Yes,1.18,7.68%,16.11%,0.82,200.42,0.86%,1.39%,5.08%,May 01 AMC,62.06M,199.95,-2.03%,-2.79%,-11.42%,"

","51,477,936",-0.23%,AAPL,-0.0192
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.72,5.02,0.15%,278.00M,-1.63%,40.04B,21.43,6.72,-19.66%,277.54M,-2.47%,1.43B,2.50,1.46,84.62%,1.58%,-6.29%,7.74B,5.17,12.11%,-2.07%,1.95,6.48%,-28.07,-,11.21%,22.12%,4.37M,4.64%,2.69,53.53,11.49%,-,122.13,163.30,7.36%,2.84 (1.97%),27.59,4.75%,32.45%,-11.79%,0.73,2.76 (1.92%),1.40,6.30%,46.80%,17.94%,2.65,"May 27, 2025",1.40,-11.50%,31.12%,41.80,0.69%,0.93%,40000,-,10.09%,18.42%,2.63,160.43,Yes / Yes,-,-18.28%,51.40%,0.82,143.15,-3.55%,0.94%,11.83%,Apr 30 BMO,2.25M,144.04,-1.92%,-3.31%,2.68%,"

","1,841,961",0.62%,YUM,-0.1966
CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,NASD,S&P 500,28.74,9.95,0.31%,359.65M,1.47%,103.02B,24.64,11.60,-6.41%,359.23M,4.96%,3.58B,4.35,2.94,90.96%,1.32%,14.42%,6.28B,16.39,8.63%,1.36%,1.78,27.91%,75.16,3.80,4.11%,2.50%,4.74M,36.32%,4.23,67.53,6.61%,13.40%,186.08,287.05,23.10%,11.17 (3.91%),26.93,10.36%,11.64%,-0.41%,0.46,4.62 (1.61%),1.02,4.83%,82.68%,53.63%,4.91,"Jun 09, 2025",1.02,13.31%,64.92%,65.18,0.37%,1.49%,3760,0.14,11.72%,56.99%,2.55,272.94,Yes / Yes,0.14,11.70%,107.52%,0.55,285.98,-0.15%,-0.13%,10.38%,Apr 23 BMO,2.67M,285.87,2.29%,6.07%,20.13%,"

","1,486,176",-0.04%,CME,-0.0641
"O'Reilly Automotive, Inc",Consumer Cyclical,Auto Parts,USA,NASD,"NDX, S&P 500",33.14,40.80,0.83%,57.11M,-1.34%,77.05B,27.35,49.43,-6.13%,56.52M,-3.37%,2.38B,3.18,11.76,86.68%,1.55%,-0.10%,16.87B,4.57,8.05%,-1.46%,2.02,10.16%,-23.77,-,12.50%,16.12%,0.88M,36.99%,3.36,402.89,10.43%,-,947.49,1458.37,14.02%,-,37.78,17.85%,37.62%,-7.29%,0.59,-,0.10,10.54%,51.23%,42.70%,27.82,-,0.71,3.28%,19.21%,45.31,0.69%,1.11%,93047,-,4.90%,14.10%,1.63,1507.14,Yes / Yes,-,1.53%,0.00%,0.60,1357.56,-0.85%,-5.14%,4.04%,Apr 23 AMC,435.17K,1352.06,-1.25%,-1.78%,7.47%,"

","300,209",-0.41%,ORLY,-0.0613
James Hardie Industries plc ADR,Basic Materials,Building Materials,Ireland,NYSE,-,23.55,0.98,-,429.82M,-3.60%,9.89B,13.36,1.72,-,429.40M,-2.99%,423.12M,2.22,0.37,8.49%,5.57%,-26.86%,3.87B,2.55,0.36%,3.63%,9.01,-35.47%,5.03,4.58,15.16%,8.34%,23.90M,-26.34%,1.82,12.66,10.63%,21.05%,19.72,43.57,-25.32%,-,27.53,12.44%,12.68%,-47.19%,1.73,-,1.67,8.59%,38.81%,16.68%,0.91,"May 26, 2022",2.10,-15.58%,18.63%,42.44,3.77%,2.40%,-,0.56,-1.59%,10.92%,2.00,28.79,Yes / Yes,0.54,-21.74%,0.00%,2.50,22.07,-1.44%,0.22%,-3.02%,May 19 AMC,2.65M,23.01,-5.02%,-3.57%,-27.26%,"

","6,486,803",4.26%,JHX,
Veeva Systems Inc,Healthcare,Health Information Services,USA,NYSE,-,59.16,4.72,8.63%,162.95M,18.74%,45.47B,33.68,8.29,-0.06%,148.89M,20.46%,780.66M,4.26,1.89,83.21%,2.95%,26.27%,2.86B,15.92,15.31%,2.07%,3.07,28.84%,35.87,7.78,8.87%,11.19%,4.39M,36.86%,37.24,7.49,13.89%,14.07%,170.25,258.93,32.72%,-,42.51,17.84%,12.44%,7.77%,0.99,-,4.51,20.27%,75.40%,63.90%,9.33,-,4.60,39.33%,26.97%,76.58,8.92%,4.11%,7291,0.01,14.78%,27.34%,2.06,288.78,Yes / Yes,0.01,39.31%,0.00%,4.53,234.49,4.21%,13.02%,16.71%,May 28 AMC,1.43M,279.04,16.36%,20.70%,25.45%,"

","6,131,275",19.00%,VEEV,-0.0006
